STN_ID,STNCODE,STNNAME,CITY2,STATE,STFIPS,Latitude,Longitude
1,NYP,"New York (Penn Station), New York","New York",NY,36,-73.9945,40.7503
2,WAS,"Washington, District of Columbia",Washington,DC,11,-77.0064,38.897
3,PHL,"Philadelphia (30th St), Pennsylvania",Philadelphia,PA,42,-75.181,39.9556
4,CHI,"Chicago (Union Station), Illinois",Chicago,IL,17,-87.6394,41.8787
5,BOS,"Boston (South Station), Massachusetts",Boston,MA,25,-71.0553,42.3523
6,LAX,"Los Angeles, California","Los Angeles",CA,6,-118.237,34.0562
7,SAC,"Sacramento, California",Sacramento,CA,6,-121.501,38.584
8,BAL,"Baltimore (Penn Station), Maryland",Baltimore,MD,24,-76.6157,39.3073
9,ALB,"Albany/Rensselaer, New York",Albany-Rensselaer,NY,36,-73.7411,42.641
10,PVD,"Providence, Rhode Island",Providence,RI,44,-71.4135,41.8295
11,SAN,"San Diego (Downtown), California","San Diego",CA,6,-117.17,32.7162
12,WIL,"Wilmington, Delaware",Wilmington,DE,10,-75.5511,39.7373
13,BWI,"BWI Rail Station at Thurgood Marshall Airport, Mar","BWI Marshall Airport",MD,24,-76.6943,39.1924
14,NWK,"Newark (Penn Station), New Jersey",Newark,NJ,34,-74.1647,40.7347
15,SEA,"Seattle (Amtrak), Washington",Seattle,WA,53,-122.33,47.5984
16,NHV,"New Haven, Connecticut","New Haven",CT,9,-72.9267,41.2977
17,BBY,"Boston (Back Bay), Massachusetts",Boston,MA,25,-71.0758,42.3473
18,MKE,"Milwaukee, Wisconsin",Milwaukee,WI,55,-87.9171,43.0345
19,PDX,"Portland, Oregon",Portland,OR,41,-122.677,45.5287
20,EMY,"Emeryville, California",Emeryville,CA,6,-122.292,37.8405
21,LNC,"Lancaster, Pennsylvania",Lancaster,PA,42,-76.3077,40.0542
22,HAR,"Harrisburg, Pennsylvania",Harrisburg,PA,42,-76.8783,40.2621
23,BFD,"Bakersfield, California",Bakersfield,CA,6,-119.008,35.3721
24,RTE,"Westwood, Route 128 Station, Massachusetts","Route 128",MA,25,-71.1479,42.2102
25,TRE,"Trenton, New Jersey",Trenton,NJ,34,-74.7544,40.219
26,BON,"Boston (North Station), Massachusetts",Boston,MA,25,-71.0611,42.3662
27,STM,"Stamford, Connecticut",Stamford,CT,9,-73.5422,41.0471
28,SOL,"Solana Beach, California","Solana Beach",CA,6,-117.271,32.9929
29,DAV,"Davis, California",Davis,CA,6,-121.738,38.5436
30,MET,"Metropark (Iselin), New Jersey",Metropark,NJ,34,-74.3296,40.5681
31,FNO,"Fresno, California",Fresno,CA,6,-119.783,36.7385
32,MTZ,"Martinez, California",Martinez,CA,6,-122.139,38.0189
33,IRV,"Irvine, California",Irvine,CA,6,-117.734,33.6568
34,RVR,"Richmond (Staples Mill Rd), Virginia",Richmond,VA,51,-77.4969,37.6177
35,OKJ,"Oakland, California","Oakland - Jack London Square",CA,6,-122.272,37.7939
36,SBA,"Santa Barbara, California","Santa Barbara",CA,6,-119.693,34.4137
37,STL,"St. Louis, Missouri","St. Louis",MO,29,-90.2038,38.6245
38,OSD,"Oceanside, California",Oceanside,CA,6,-117.379,33.1925
39,FUL,"Fullerton, California",Fullerton,CA,6,-117.923,33.869
40,SKN,"Stockton (711-718), California",Stockton,CA,6,-121.286,37.9455
41,RIC,"Richmond, California",Richmond,CA,6,-122.354,37.9367
42,OLT,"San Diego (Old Town), California","San Diego - Old Town",CA,6,-117.2,32.7553
43,ANA,"Anaheim, California",Anaheim,CA,6,-117.877,33.8038
44,LOR,"Lorton (Auto Train), Virginia",Lorton,VA,51,-77.2209,38.7081
45,SFA,"Sanford (Auto Train), Florida",Sanford,FL,12,-81.2913,28.8085
46,BNL,"Bloomington-Normal, Illinois",Bloomington-Normal,IL,17,-88.9843,40.509
47,SJC,"San Jose, California","San Jose",CA,6,-121.902,37.3299
48,SNC,"San Juan Capistrano, California","San Juan Capistrano",CA,6,-117.664,33.5013
49,HUD,"Hudson, New York",Hudson,NY,36,-73.7977,42.2539
50,RHI,"Rhinecliff, New York",Rhinecliff,NY,36,-73.9513,41.9213
51,PAO,"Paoli, Pennsylvania",Paoli,PA,42,-75.4838,40.0428
52,HNF,"Hanford, California",Hanford,CA,6,-119.652,36.3261
53,ALX,"Alexandria, Virginia",Alexandria,VA,51,-77.0623,38.8065
54,NOL,"Union Passenger Terminal","New Orleans",LA,22,-90.0783,29.9461
55,CLT,"Charlotte, North Carolina",Charlotte,NC,37,-80.8228,35.2414
56,NCR,"New Carrollton, Maryland","New Carrollton",MD,24,-76.8715,38.9481
57,SUI,"Suisun, California",Suisun-Fairfield,CA,6,-122.041,38.2434
58,POR,"Portland, Maine",Portland,ME,23,-70.2913,43.6541
59,SPI,"Springfield, Illinois",Springfield,IL,17,-89.6514,39.8023
60,KIN,"West Kingston, Rhode Island",Kingston,RI,44,-71.5606,41.484
61,CHM,"Champaign-Urbana, Illlinois",Champaign-Urbana,IL,17,-88.2414,40.1158
62,MKA,"Milwaukee (General Mitchell Intl Airport), Wiscons","Milwaukee Mitchell Airport",WI,55,-87.9244,42.9406
63,NLC,"New London, Connecticut","New London",CT,9,-72.0932,41.3543
64,RGH,"Raleigh, North Carolina",Raleigh,NC,37,-78.6459,35.7749
65,GAC,"Santa Clara (Great America), California","Santa Clara- Great American",CA,6,-121.967,37.4068
66,KCY,"Kansas City, Missouri","Kansas City",MO,29,-94.5851,39.0846
67,BKY,"Berkeley, California",Berkeley,CA,6,-122.301,37.8672
68,SNA,"Santa Ana, California","Santa Ana",CA,6,-117.857,33.7516
69,PGH,"Pittsburgh, Pennsylvania",Pittsburgh,PA,42,-79.9923,40.4447
70,EWR,"Newark Liberty International Airport, New Jersey","Newark Liberty Airport",NJ,34,-74.1823,40.6966
71,HFD,"Hartford, Connecticut",Hartford,CT,9,-72.6813,41.7688
72,DEN,"Denver, Colorado",Denver,CO,8,-105,39.753
73,CVS,"Charlottesville, Virginia",Charlottesville,VA,51,-78.4917,38.0315
74,ORL,"Orlando, Florida",Orlando,FL,12,-81.3815,28.5259
75,EXT,"Exton, Pennsylvania",Exton,PA,42,-75.6217,40.0193
76,ARB,"Ann Arbor, Michigan","Ann Arbor",MI,26,-83.7431,42.2877
77,SYR,"Syracuse, New York",Syracuse,NY,36,-76.1692,43.0765
78,ROC,"Rochester, New York",Rochester,NY,36,-77.6081,43.1634
79,MCD,"Merced, California",Merced,CA,6,-120.477,37.3072
80,TAC,"Tacoma, Washington",Tacoma,WA,53,-122.421,47.2419
81,MOD,"Modesto, California",Modesto,CA,6,-120.913,37.6689
82,GRO,"Greensboro, North Carolina",Greensboro,NC,37,-79.7871,36.0698
83,KAL,"Kalamazoo, Michigan",Kalamazoo,MI,26,-85.584,42.2953
84,SLO,"San Luis Obispo, California","San Luis Obispo",CA,6,-120.655,35.2764
85,BUF,"Buffalo (Depew), New York",Buffalo-Depew,NY,36,-78.7266,42.907
86,NPN,"Newport News, Virginia","Newport News",VA,51,-76.452,37.0227
87,TPA,"Tampa, Florida",Tampa,FL,12,-82.4508,27.9525
88,ELT,"Elizabethtown, Pennsylvania",Elizabethtown,PA,42,-76.6122,40.147
89,FTW,"Fort Worth, Texas","Fort Worth",TX,48,-97.3267,32.7526
90,POU,"Poughkeepsie, New York",Poughkeepsie,NY,36,-73.9375,41.7071
91,CDL,"Carbondale, Illinois",Carbondale,IL,17,-89.2166,37.7242
92,GBB,"Galesburg, Illinois",Galesburg,IL,17,-90.3641,40.9447
93,VAN,"Vancouver, Washington, United States",Vancouver,WA,53,-122.687,45.6289
94,MSP,"St. Paul/Minneapolis, Minnesota","St. Paul-Minneapolis",MN,27,-93.0854,44.9477
95,SPG,"Springfield, Massachusetts",Springfield,MA,25,-72.5929,42.106
